ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
EWZ,p3y,loss,0.7221232,0,0.6654271,0.7221232,0,0.497256
EWZ,p5y,loss,0.7221232,0,0.5983295,0.7221232,0,0.4486018
EZA,p3y,profit,0.6722796,0.4302682,0.6346337,0.6722796,0.4302682,0.6325725
EZA,p5y,profit,0.6514943,0.425247,0.6388129,0.6514943,0.425247,0.6388129
EZA,p3y,loss,0.471046,0,0.3780064,0.471046,0,0.3227399
EZA,p5y,loss,0.6514943,0,0.3482828,0.471046,0,0.2271469
EZU,p3y,profit,0.6742859,0.2059569,0.5525604,0.6742859,0.2059569,0.4358181
EZU,p5y,profit,0.6742859,0.2365233,0.5196351,0.6742859,0.2365233,0.4270369
EZU,p3y,loss,0.4044803,0,0.1047602,0.4044803,0,0.1047602
EZU,p5y,loss,0.3216447,0,0.1067146,0.2691739,0,0.1015432
IEV,p3y,profit,0.6499543,0.2213896,0.573609,0.6499543,0.2213896,0.4364737
IEV,p5y,profit,0.6499543,0.2114122,0.5422799,0.6499543,0.2114122,0.4714967
IEV,p3y,loss,0.3616793,0,0.05936796,0.3616793,0,0.05936796
IEV,p5y,loss,0.2232193,0,0.06271374,0.2232193,0,0.06271374
ILCB,p3y,profit,0.5287647,0.5287647,0.5287647,0.5287647,0.1747619,0.4892762
ILCB,p5y,profit,0.5287647,0.5287647,0.5287647,0.5287647,0.1219246,0.4844214
ILCB,p3y,loss,-0w,0w,,0.0245821,0,0.01638807
ILCG,p3y,profit,0.5344954,0.5344954,0.5344954,0.5344954,0.1621821,0.5206178
ILCG,p5y,profit,0.5344954,0.5344954,0.5344954,0.5344954,0.1693814,0.5321399
ILCG,p3y,loss,-0w,0w,,0.03193754,0.03193754,0.03193754
ILCV,p3y,profit,0.608536,0.3529637,0.606159,0.608536,0.06425443,0.452013
ILCV,p5y,profit,0.608536,0.5607172,0.6069988,0.608536,0.05470515,0.4520029
ILCV,p3y,loss,-0w,0w,,0.1542365,0.03662842,0.1035466
IWB,p3y,profit,0.5640663,0.4277442,0.5510536,0.5640663,0.08697927,0.5049039
IWB,p5y,profit,0.5640663,0.2558005,0.5455236,0.5640663,0.1854757,0.5334411
IWB,p3y,loss,0.4637047,0,0.1483162,0.09530011,0,0.02463646
IWD,p3y,profit,0.6188459,0.4653243,0.6088494,0.6188459,0.2035183,0.5258557
IWD,p5y,profit,0.6188459,0.3001773,0.6010319,0.6188459,0.2035183,0.5534071
IWD,p3y,loss,0.1386878,0,0.03726924,0.1386878,0,0.03726924
IWD,p5y,loss,0.03230478,0,0.00919516,0.03230478,0,0.00919516
IWF,p3y,profit,0.5208233,0.3262206,0.5120887,0.6397871,0.07118161,0.4707284
IWF,p5y,profit,0.5208233,0.2004206,0.5015881,0.5208233,0.08499812,0.4949444
IWF,p3y,loss,0.5608287,0.4619109,0.4995635,0.05749163,0,0.02786417
JPXN,p3y,profit,0.5562704,0.2379583,0.529282,0.5562704,0.2104315,0.2919563
JPXN,p5y,profit,0.5562704,0.2027266,0.5327211,0.5562704,0.201977,0.3568842
JPXN,p3y,loss,0.2443815,0.19711,0.2002237,0.2443815,0,0.1509932
JPXN,p5y,loss,0.19711,0.19711,0.19711,0.19711,0.19711,0.19711
