ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
IXP,p3y,profit,0.5250298,0.226143,0.349791,0.5250298,0.1623337,0.309553
IXP,p5y,profit,0.5250298,0.226143,0.4267439,0.5250298,0.1646923,0.4055435
IXP,p3y,loss,0.09183535,0,0.02847128,0.09183535,0,0.02847128
IXP,p5y,loss,0.07005512,0,0.04895598,0.07005512,0,0.04895598
IYC,p3y,profit,0.5399197,0.2304438,0.5070178,0.5399197,0.2304438,0.5023213
IYC,p5y,profit,0.5399197,0.2186536,0.4910273,0.5399197,0.2186536,0.4906968
IYC,p3y,loss,0.4124391,0.04449388,0.3693674,0.1054236,0,0.0826956
IYC,p5y,loss,-0w,0w,,0.4124391,0.4124391,0.4124391
IYE,p3y,profit,0.7298388,0.3779683,0.6248744,0.7092542,0.3267096,0.5567529
IYE,p5y,profit,0.5623539,0.4773483,0.4978302,0.5623539,0.2216833,0.3741485
IYE,p3y,loss,0.5623539,0,0.3734549,0.4962404,0,0.2750977
IYE,p5y,loss,0.5623539,0,0.2713187,0.5623539,0,0.2713187
IYF,p3y,profit,0.8029012,0.02546201,0.7838256,0.8029012,0,0.5457392
IYF,p5y,profit,0.8029012,0.01621742,0.761025,0.8029012,0,0.532881
IYF,p3y,loss,0.3674512,0,0.0785576,0.3674512,0,0.0785576
IYF,p5y,loss,0.3241663,0,0.07870769,0.3441317,0,0.09108791
IYG,p3y,profit,0.8289971,0,0.6578341,0.8289971,0,0.4893233
IYG,p5y,profit,0.8289971,0,0.6798193,0.8289971,0,0.5005547
IYG,p3y,loss,0.5793909,0,0.1334589,0.3579942,0,0.07748129
IYG,p5y,loss,0.5793909,0,0.134913,0.5793909,0,0.09601634
IYH,p3y,profit,0.3972211,0.1818542,0.3883689,0.8487827,0.1818542,0.386043
IYH,p5y,profit,0.3972211,0.07965143,0.3662505,0.8487827,0.07965143,0.3858975
IYH,p3y,loss,0.4342889,0,0.03896072,0.08011823,0,0.02209545
IYH,p5y,loss,-0w,0w,,-0w,0w,
IYJ,p3y,profit,0.6273976,0.4252173,0.6008485,0.6273976,0.2514621,0.5653149
IYJ,p5y,profit,0.6273976,0.3250993,0.5966544,0.6273976,0.2514621,0.575158
IYJ,p3y,loss,0.4727048,0,0.07912427,0.1185878,0,0.03303024
IYJ,p5y,loss,-0w,0w,,0.4530141,0.4530141,0.4530141
IYK,p3y,profit,0.4420465,0.2306067,0.4059651,0.8033754,0.2306067,0.449864
IYK,p5y,profit,0.4420465,0.2306067,0.4059651,0.8033754,0.2306067,0.5027081
IYK,p3y,loss,0.0361776,0,0.02351945,0.0361776,0,0.02351945
IYK,p5y,loss,-0w,0w,,0.008944177,0.007583123,0.008774045
IYM,p3y,profit,0.6821394,0.4080871,0.6494796,0.6821394,0.3210488,0.6154201
IYM,p5y,profit,0.6821394,0.4924717,0.6651169,0.6821394,0.3210488,0.6280634
IYM,p3y,loss,0.1783635,0,0.07526422,0.1783635,0,0.07526422
IYM,p5y,loss,0.1247959,0.1247959,0.1247959,0.3210488,0.01722725,0.08477644
IYT,p3y,profit,0.6094987,0.2607967,0.5556007,0.6094987,0.2607967,0.5556007
IYT,p5y,profit,0.6094987,0.2462959,0.5475941,0.6094987,0.2462959,0.5462214
IYT,p3y,loss,-0w,0w,,-0w,0w,
IYT,p5y,loss,0.0608296,0.0608296,0.0608296,0.0608296,0.0608296,0.0608296
IYW,p3y,profit,0.8175135,0.2137671,0.5097674,0.8175135,0.2137671,0.5085544
IYW,p5y,profit,0.8175135,0.07157932,0.5329251,0.8175135,0.008189094,0.4019976
IYW,p3y,loss,-0w,0w,,-0w,0w,
IYW,p5y,loss,-0w,0w,,-0w,0w,
IYY,p3y,profit,0.5634097,0.4236522,0.5492671,0.5634097,0.08792686,0.5150365
IYY,p5y,profit,0.5634097,0.250014,0.5443215,0.5634097,0.1873579,0.5315833
IYY,p3y,loss,0.4653414,0,0.1461495,0.09611074,0,0.02448778
IYY,p5y,loss,-0w,0w,,0.4376202,0.4106865,0.4123292
IYZ,p3y,profit,0.6271593,0.08445516,0.6205788,0.7764312,0.06412171,0.5232032
IYZ,p5y,profit,0.6271593,0.4158787,0.6222113,0.7764312,0.06304694,0.4791887
IYZ,p3y,loss,0.583292,0,0.2780648,0.3334853,0,0.07759536
IYZ,p5y,loss,0.583292,0,0.2305582,0.3248423,0,0.1438685
SOXX,p3y,profit,0.6691135,0.3096391,0.6375054,0.6725498,0.1780972,0.534313
SOXX,p5y,profit,0.6691135,0.3096391,0.6262159,0.6691135,0.1780972,0.5380569
SOXX,p3y,loss,0.6725498,0,0.4130103,0.3759966,0,0.3096606
SOXX,p5y,loss,0.656918,0,0.2907622,0.6725498,0,0.258851
