ticker,less_Q1,less_Q1_pct,bet_Q1_Q2,bet_Q1_Q2_pct,bet_Q2_Q3,bet_Q2_Q3_pct,greater_Q3,greater_Q3_pct,total
IVE,0,0,50,0.5,50,0.5,0,0,100
IOO,11,0.1157895,42,0.4421053,42,0.4421053,0,0,95
ILF,112,0.1291811,192,0.2214533,192,0.2214533,371,0.4279123,867
FXI,313,0.313,322,0.322,322,0.322,43,0.043,1000
