ticker,less_Q1,less_Q1_pct,bet_Q1_Q2,bet_Q1_Q2_pct,bet_Q2_Q3,bet_Q2_Q3_pct,greater_Q3,greater_Q3_pct,total
IJR,191,0.2776163,191,0.2776163,230,0.3343023,76,0.1104651,688
IWM,217,0.2719298,217,0.2719298,250,0.3132832,114,0.1428571,798
IWN,169,0.2541353,169,0.2541353,193,0.2902256,134,0.2015038,665
IWO,174,0.2525399,179,0.2597968,204,0.2960813,132,0.191582,689
IJS,178,0.2676692,185,0.2781955,219,0.3293233,83,0.124812,665
IJT,265,0.2928177,266,0.2939227,313,0.3458564,61,0.06740331,905
ISCG,55,0.1334951,72,0.1747573,89,0.2160194,196,0.4757282,412
ISCV,26,0.07084469,53,0.1444142,115,0.3133515,173,0.4713896,367
ISCB,32,0.08815427,61,0.1680441,84,0.231405,186,0.5123967,363
