ticker,less_Q1,less_Q1_pct,bet_Q1_Q2,bet_Q1_Q2_pct,bet_Q2_Q3,bet_Q2_Q3_pct,greater_Q3,greater_Q3_pct,total
IJR,30,0.1401869,92,0.4299065,92,0.4299065,0,0,214
IWM,8,0.03669725,105,0.4816514,105,0.4816514,0,0,218
IWN,44,0.09322034,214,0.4533898,214,0.4533898,0,0,472
IWO,1,0.006134969,81,0.4969325,81,0.4969325,0,0,163
IJS,16,0.0855615,16,0.0855615,155,0.828877,0,0,187
IJT,41,0.2039801,80,0.39801,80,0.39801,0,0,201
ISCV,5,0.04347826,55,0.4782609,55,0.4782609,0,0,115
ISCB,0,0,10,0.5,10,0.5,0,0,20
