ticker,less_Q1,less_Q1_pct,bet_Q1_Q2,bet_Q1_Q2_pct,bet_Q2_Q3,bet_Q2_Q3_pct,greater_Q3,greater_Q3_pct,total
IJH,0,0,20,0.0877193,116,0.5087719,92,0.4035088,228
IJK,14,0.07909605,22,0.1242938,76,0.4293785,65,0.3672316,177
IJJ,0,0,23,0.1210526,104,0.5473684,63,0.3315789,190
IWR,0,0,9,0.06040268,20,0.1342282,120,0.8053691,149
IWP,7,0.02788845,30,0.1195219,85,0.3386454,129,0.5139442,251
IWS,0,0,26,0.1511628,26,0.1511628,120,0.6976744,172
IMCG,13,0.07344633,28,0.1581921,28,0.1581921,108,0.6101695,177
IMCB,0,0,8,0.0733945,8,0.0733945,93,0.853211,109
IMCV,0,0,61,0.4518519,61,0.4518519,13,0.0962963,135
