ticker,less_Q1,less_Q1_pct,bet_Q1_Q2,bet_Q1_Q2_pct,bet_Q2_Q3,bet_Q2_Q3_pct,greater_Q3,greater_Q3_pct,total
IJH,176,0.2820513,224,0.3589744,224,0.3589744,0,0,624
IJK,26,0.1511628,73,0.4244186,73,0.4244186,0,0,172
IJJ,9,0.0376569,115,0.4811715,115,0.4811715,0,0,239
IWR,74,0.2569444,107,0.3715278,107,0.3715278,0,0,288
IWP,36,0.1636364,92,0.4181818,92,0.4181818,0,0,220
IWS,182,0.3238434,190,0.3380783,190,0.3380783,0,0,562
IMCG,85,0.3333333,85,0.3333333,85,0.3333333,0,0,255
IMCB,104,0.3333333,104,0.3333333,104,0.3333333,0,0,312
IMCV,186,0.3217993,196,0.3391003,196,0.3391003,0,0,578
